sample;annotation
alweys;[(0, 6, 'B-BRAND')]
am;[(0, 2, 'O')]
amare;[(0, 5, 'B-BRAND')]
ambassado;[(0, 9, 'B-BRAND')]
amore форели;[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
anikers;[(0, 7, 'B-BRAND')]
aoba;[(0, 4, 'O')]
aos;[(0, 3, 'B-BRAND')]
aotime;[(0, 6, 'O')]
apica;[(0, 5, 'B-BRAND')]
aplen;[(0, 5, 'B-BRAND')]
aplpen;[(0, 6, 'B-BRAND')]
apollo дома;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
apollo салатни;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
apollo салатник;[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
apollo салатники;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
applika облож;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
applika обложк;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
apte ботин;[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE')]
apte ботинк;[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]
apy ople;[(0, 3, 'O'), (4, 8, 'O')]
aqua;[(0, 4, 'B-BRAND')]
aquafres;[(0, 8, 'B-BRAND')]
aquafresh;[(0, 9, 'B-BRAND')]
aquaftesh;[(0, 9, 'B-BRAND')]
aqva;[(0, 4, 'B-TYPE')]
arcopal салатни;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
arcopal салатники;[(0, 7, 'B-BRAND'), (8, 17, 'B-TYPE')]
arctic;[(0, 6, 'B-BRAND')]
arctik;[(0, 6, 'B-BRAND')]
are mio;[(0, 3, 'O'), (4, 7, 'O')]
arelin;[(0, 6, 'O')]
argeta;[(0, 6, 'B-BRAND')]
ari;[(0, 3, 'B-BRAND')]
arie;[(0, 4, 'B-BRAND')]
ariel без;[(0, 5, 'B-BRAND'), (6, 9, 'O')]
arielm;[(0, 6, 'B-BRAND')]
arivali;[(0, 7, 'B-BRAND')]
arivari;[(0, 7, 'B-BRAND')]
arkhangel'skkhleb баг;[(0, 17, 'B-BRAND'), (18, 21, 'B-TYPE')]
arkhangel'skkhleb баге;[(0, 17, 'B-BRAND'), (18, 22, 'B-TYPE')]
arkhangel'skkhleb багет;[(0, 17, 'B-BRAND'), (18, 23, 'B-TYPE')]
arko;[(0, 4, 'B-BRAND')]
arln;[(0, 4, 'O')]
aro;[(0, 3, 'B-BRAND')]
aroma;[(0, 5, 'B-TYPE')]
aroy;[(0, 4, 'B-BRAND')]
art;[(0, 3, 'O')]
artfruit бат;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
artfruit бата;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
artfruit батат;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
artfruit виногр;[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
artfruit виногра;[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
artfruit виноград;[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]
artfruit виш;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
artfruit вишн;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
artfruit вишня;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
artfruit голубик;[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
artfruit голубика;[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]
artfruit гру;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
artfruit груш;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
artfruit груша;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
artfruit груши;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
artfruit клубни;[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
artfruit клубника;[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]
artfruit крыжовн;[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
artfruit ла;[(0, 8, 'B-BRAND'), (9, 11, 'B-TYPE')]
artfruit лай;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
artfruit лайм;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
artfruit мали;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
artfruit малин;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
artfruit малины;[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
artfruit ман;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
artfruit манг;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
artfruit мандар;[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
artfruit мандари;[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
artfruit мандарин;[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]
artfruit нектар;[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
artfruit нектари;[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
artfruit нектарин;[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]
artfruit нектарины;[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE')]
artfruit смородин;[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]
artfruit смородинк;[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE')]
artfruit спар;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
artfruit спарж;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
artfruit спаржа;[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
artfruit фейхо;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
artfruit фейхоа;[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
arts&crafts спич;[(0, 11, 'B-BRAND'), (12, 16, 'B-TYPE')]
arts&crafts спичк;[(0, 11, 'B-BRAND'), (12, 17, 'B-TYPE')]
arts&crafts спички;[(0, 11, 'B-BRAND'), (12, 18, 'B-TYPE')]
asileorovskoe;[(0, 13, 'O')]
assamd;[(0, 6, 'B-TYPE')]
assan;[(0, 5, 'B-BRAND')]
assand;[(0, 6, 'B-BRAND')]
astoria;[(0, 7, 'B-BRAND')]
atlantic плав;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
atlantic плавк;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
atlantic тру;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
attache бум;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
attache бума;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
attache бумаг;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
attache калькулят;[(0, 7, 'B-BRAND'), (8, 17, 'B-TYPE')]
au;[(0, 2, 'O')]
aunfed;[(0, 6, 'O')]
aura;[(0, 4, 'B-BRAND')]
aurae;[(0, 5, 'B-BRAND')]
avyanka;[(0, 7, 'O')]
award например;[(0, 5, 'B-BRAND'), (6, 14, 'O')]
axe;[(0, 3, 'B-BRAND')]
axe тверд;[(0, 3, 'B-BRAND'), (4, 9, 'B-TYPE')]
axe тверды;[(0, 3, 'B-BRAND'), (4, 10, 'B-TYPE')]
axe твердый;[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE')]
ayola;[(0, 5, 'O')]
azeli;[(0, 5, 'B-BRAND')]
azelis;[(0, 6, 'B-BRAND')]
azelit;[(0, 6, 'B-BRAND')]
aziano;[(0, 6, 'B-BRAND')]
b-brand с клубникой;[(0, 7, 'B-BRAND'), (8, 9, 'O'), (10, 19, 'O')]
babofox;[(0, 7, 'B-BRAND')]
babybox;[(0, 7, 'B-BRAND')]
babyfox;[(0, 7, 'B-BRAND')]
babygo;[(0, 6, 'B-BRAND')]
backer;[(0, 6, 'B-BRAND')]
badyart;[(0, 7, 'B-BRAND')]
baffy;[(0, 5, 'B-BRAND')]
bager;[(0, 5, 'B-BRAND')]
baical;[(0, 6, 'B-BRAND')]
baik;[(0, 4, 'B-BRAND')]
baika;[(0, 5, 'B-BRAND')]
baikal;[(0, 6, 'B-BRAND')]
barili;[(0, 6, 'B-BRAND')]
barilka;[(0, 7, 'B-BRAND')]
barill;[(0, 6, 'B-BRAND')]
barills;[(0, 7, 'B-BRAND')]
barin;[(0, 5, 'B-BRAND')]
barinoff;[(0, 8, 'B-BRAND')]
barista;[(0, 7, 'B-BRAND')]
barni;[(0, 5, 'B-BRAND')]
barny;[(0, 5, 'B-BRAND')]
barrila;[(0, 7, 'B-BRAND')]
barrill;[(0, 7, 'B-BRAND')]
barrinof;[(0, 8, 'B-BRAND')]
basard;[(0, 6, 'B-BRAND')]
basillu;[(0, 7, 'B-BRAND')]
basilur ча;[(0, 7, 'B-BRAND'), (8, 10, 'B-TYPE')]
bastus;[(0, 6, 'O')]
batura;[(0, 6, 'B-BRAND')]
baubty;[(0, 6, 'B-BRAND')]
baunti;[(0, 6, 'B-BRAND')]
bck;[(0, 3, 'O')]
be;[(0, 2, 'O')]
bebela;[(0, 6, 'B-BRAND')]
bebelac;[(0, 7, 'B-BRAND')]
bebyfox;[(0, 7, 'B-BRAND')]
beer;[(0, 4, 'B-TYPE')]
beerka;[(0, 6, 'B-BRAND')]
beker;[(0, 5, 'B-BRAND')]
belavita;[(0, 8, 'B-BRAND')]
belevita;[(0, 8, 'B-BRAND')]
bell;[(0, 4, 'B-BRAND')]
bella;[(0, 5, 'B-BRAND')]
bella дис;[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
bella диск;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
bella диски;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
bellvita;[(0, 8, 'B-BRAND')]
bels;[(0, 4, 'B-BRAND')]
belster;[(0, 7, 'B-BRAND')]
belv;[(0, 4, 'B-BRAND')]
belvi;[(0, 5, 'B-BRAND')]
belvit;[(0, 6, 'B-BRAND')]
belvito;[(0, 7, 'B-BRAND')]
belvitt;[(0, 7, 'B-BRAND')]
belvitta;[(0, 8, 'B-BRAND')]
berel;[(0, 5, 'O')]
bergner кофейн;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
bergner кофейни;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
berl;[(0, 4, 'B-BRAND')]
berli;[(0, 5, 'B-BRAND')]
berlingo степле;[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
berlingo степлер;[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
berlingo степлеры;[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]
bern;[(0, 4, 'B-BRAND')]
bibo н;[(0, 4, 'B-BRAND'), (5, 6, 'B-TYPE')]
bibo нож;[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE')]
bibo ножи;[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
bic;[(0, 3, 'O')]
biff;[(0, 4, 'B-BRAND')]
big bon;[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
bigb;[(0, 4, 'B-BRAND')]
bigbom;[(0, 6, 'B-BRAND')]
bigbon;[(0, 6, 'B-BRAND')]
bigbone;[(0, 7, 'B-BRAND')]
bigsos;[(0, 6, 'B-BRAND')]
bima;[(0, 4, 'B-BRAND')]
bimax;[(0, 5, 'B-BRAND')]
bingre;[(0, 6, 'B-BRAND')]
bingree;[(0, 7, 'B-BRAND')]
biola;[(0, 5, 'B-BRAND')]
biomax т;[(0, 6, 'B-BRAND'), (7, 8, 'B-TYPE')]
biomax та;[(0, 6, 'B-BRAND'), (7, 9, 'B-TYPE')]
biomio;[(0, 6, 'B-BRAND')]
biomio крем-мы;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
biomio крем-мыл;[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
biomio крем-мыло;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
black;[(0, 5, 'B-BRAND')]
blade;[(0, 5, 'B-BRAND')]
bled;[(0, 4, 'O')]
blombar;[(0, 7, 'B-BRAND')]
blondi;[(0, 6, 'B-BRAND')]
blue;[(0, 4, 'B-BRAND')]
blueber;[(0, 7, 'B-TYPE')]
boduart;[(0, 7, 'B-BRAND')]
bodyart;[(0, 7, 'B-BRAND')]
bodyart дис;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
bodyr;[(0, 5, 'O')]
boe f;[(0, 3, 'O'), (4, 5, 'O')]
bogbon;[(0, 6, 'B-BRAND')]
boge;[(0, 4, 'O')]
bohemia салатни;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
bohemia салатник;[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
bohemia салатники;[(0, 7, 'B-BRAND'), (8, 17, 'B-TYPE')]
bohemia стаканы;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
bombar;[(0, 6, 'B-BRAND')]
bombard;[(0, 7, 'B-BRAND')]
bombarr;[(0, 7, 'B-BRAND')]
bombb;[(0, 5, 'B-BRAND')]
bombba;[(0, 6, 'B-BRAND')]
bombbaar;[(0, 8, 'B-BRAND')]
bombbae;[(0, 7, 'B-BRAND')]
bombbat;[(0, 7, 'B-BRAND')]
bombbr;[(0, 6, 'B-BRAND')]
bombibar;[(0, 8, 'B-BRAND')]
bommbar;[(0, 7, 'B-BRAND')]
bon;[(0, 3, 'B-BRAND')]
bond;[(0, 4, 'B-BRAND')]
bondu;[(0, 5, 'B-BRAND')]
bondue;[(0, 6, 'B-BRAND')]
bonduelle;[(0, 9, 'B-BRAND')]
bonelama;[(0, 8, 'O')]
bonfet;[(0, 6, 'O')]
bonj;[(0, 4, 'B-BRAND')]
bonjour;[(0, 7, 'B-BRAND')]
boom тетра;[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE')]
boom тетради;[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE')]
boombaar;[(0, 8, 'B-BRAND')]
boombar;[(0, 7, 'B-BRAND')]
boombbar;[(0, 8, 'B-BRAND')]
boost;[(0, 5, 'B-BRAND')]
boreal;[(0, 6, 'B-BRAND')]
borealis;[(0, 8, 'B-BRAND')]
borg;[(0, 4, 'B-BRAND')]
borges;[(0, 6, 'B-BRAND')]
borgomi;[(0, 7, 'B-BRAND')]
borill;[(0, 6, 'B-BRAND')]
borj;[(0, 4, 'B-BRAND')]
borjo;[(0, 5, 'B-BRAND')]
boun;[(0, 4, 'B-BRAND')]
boun без;[(0, 4, 'B-BRAND'), (5, 8, 'O')]
bount;[(0, 5, 'B-BRAND')]
bounti;[(0, 6, 'B-BRAND')]
bounty;[(0, 6, 'B-BRAND')]
boyarin кукуруз;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
boyarin кукурузо;[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
boyarin кукурузой;[(0, 7, 'B-BRAND'), (8, 17, 'B-TYPE')]
boyarin патиссо;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
boyarin патиссон;[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
boynty;[(0, 6, 'B-BRAND')]
boyscout спич;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
boyscout спичк;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
bradex м;[(0, 6, 'B-BRAND'), (7, 8, 'B-TYPE')]
brayer кофевар;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
brayer кофеварок;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
bref стике;[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE')]
bref стикер;[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]
brit;[(0, 4, 'B-BRAND')]
bru;[(0, 3, 'B-BRAND')]
bsrilla;[(0, 7, 'B-BRAND')]
bubbl;[(0, 5, 'B-BRAND')]
bucher;[(0, 6, 'B-BRAND')]
bucheron;[(0, 8, 'B-BRAND')]
bud;[(0, 3, 'B-BRAND')]
buena;[(0, 5, 'B-BRAND')]
bueno;[(0, 5, 'B-BRAND')]
bunk club;[(0, 4, 'O'), (5, 9, 'O')]
burg;[(0, 4, 'B-BRAND')]
burlesco колготк;[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
burlesco колготки;[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]
burlesco пар;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
burlesco парео;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
burn;[(0, 4, 'B-BRAND')]
burno;[(0, 5, 'B-BRAND')]
bush;[(0, 4, 'B-BRAND')]
bushi;[(0, 5, 'B-BRAND')]
bushido;[(0, 7, 'B-BRAND')]
butter;[(0, 6, 'B-BRAND')]
caib;[(0, 4, 'O')]
calfaon;[(0, 7, 'B-BRAND')]
calgo;[(0, 5, 'B-BRAND')]
calgon;[(0, 6, 'B-BRAND')]
camay;[(0, 5, 'B-BRAND')]
camey;[(0, 5, 'B-BRAND')]
cannon толстовк;[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
capol babis;[(0, 5, 'O'), (6, 11, 'O')]
car;[(0, 3, 'B-BRAND')]
caramel;[(0, 7, 'B-TYPE')]
carat горчицы;[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]
carat еще;[(0, 5, 'B-BRAND'), (6, 9, 'O')]
carat пирог;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
carat пироги;[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
carsar;[(0, 6, 'B-BRAND')]
carte noire;[(0, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
cartie;[(0, 6, 'B-BRAND')]
cartoie;[(0, 7, 'O')]
carye;[(0, 5, 'B-BRAND')]
casade;[(0, 6, 'B-BRAND')]
caterra;[(0, 7, 'B-BRAND')]
cattera;[(0, 7, 'B-BRAND')]
catterra;[(0, 8, 'B-BRAND')]
cavendish карамел;[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]
cavendish карамель;[(0, 9, 'B-BRAND'), (10, 18, 'B-TYPE')]
cavendish карамелью;[(0, 9, 'B-BRAND'), (10, 19, 'B-TYPE')]
cd дис;[(0, 2, 'B-TYPE'), (3, 6, 'I-TYPE')]
cd диск;[(0, 2, 'B-TYPE'), (3, 7, 'I-TYPE')]
ceany;[(0, 5, 'O')]
celesta пергаме;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
celesta пергамен;[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
celesta пергамент;[(0, 7, 'B-BRAND'), (8, 17, 'B-TYPE')]
centrum мел;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
centrum мелк;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
centrum мелки;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
centrum руч;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
centrum руче;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
centrum степле;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
centrum степлер;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
cerkizov;[(0, 8, 'O')]
cerve стак;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
cerve стака;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
cerve стакан;[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
cesar;[(0, 5, 'B-BRAND')]
cessr;[(0, 5, 'B-BRAND')]
cezar;[(0, 5, 'B-BRAND')]
cgoco;[(0, 5, 'B-BRAND')]
chaco;[(0, 5, 'B-BRAND')]
chaka;[(0, 5, 'B-BRAND')]
champion;[(0, 8, 'B-BRAND')]
champion гале;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
champion галеты;[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
chapi;[(0, 5, 'B-BRAND')]
chapp;[(0, 5, 'B-BRAND')]
chappi;[(0, 6, 'B-BRAND')]
chappie;[(0, 7, 'B-BRAND')]
chappy;[(0, 6, 'B-BRAND')]
checo;[(0, 5, 'B-BRAND')]
cheess;[(0, 6, 'B-TYPE')]
cherkizovo сырокопчен;[(0, 10, 'B-BRAND'), (11, 21, 'B-TYPE')]
cherkizovo сырокопчены;[(0, 10, 'B-BRAND'), (11, 22, 'B-TYPE')]
cherkizovo сырокопченые;[(0, 10, 'B-BRAND'), (11, 23, 'B-TYPE')]
cherry;[(0, 6, 'B-TYPE')]
chik;[(0, 4, 'B-BRAND')]
chika;[(0, 5, 'B-BRAND')]
chikabar;[(0, 8, 'B-BRAND')]
chikalab;[(0, 8, 'B-BRAND')]
chikalan;[(0, 8, 'B-BRAND')]
chikodeli;[(0, 9, 'B-BRAND')]
chin;[(0, 4, 'O')]
chipa;[(0, 5, 'B-BRAND')]
chirton саш;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
chirton саше;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
chirton спр;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
chirton спре;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
chirton спрея;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
chitos;[(0, 6, 'B-BRAND')]
choc;[(0, 4, 'B-BRAND')]
choca;[(0, 5, 'B-BRAND')]
chocc;[(0, 5, 'B-BRAND')]
chocco;[(0, 6, 'B-BRAND')]
choco;[(0, 5, 'B-BRAND')]
choco pie;[(0, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
choco-;[(0, 6, 'B-BRAND')]
chocol;[(0, 6, 'B-TYPE')]
chocoo;[(0, 6, 'B-BRAND')]
chocop;[(0, 6, 'B-BRAND')]
chocopi;[(0, 7, 'B-BRAND')]
chocozavr;[(0, 9, 'B-BRAND')]
choho;[(0, 5, 'B-BRAND')]
chokolate;[(0, 9, 'B-TYPE')]
chokozsvr;[(0, 9, 'B-BRAND')]
chono;[(0, 5, 'B-BRAND')]
chooc;[(0, 5, 'B-BRAND')]
chooco;[(0, 6, 'B-BRAND')]
chopo;[(0, 5, 'B-BRAND')]
chupa;[(0, 5, 'B-BRAND')]
chupa chups;[(0, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
chups;[(0, 5, 'B-BRAND')]
cif;[(0, 3, 'B-BRAND')]
cilit;[(0, 5, 'B-BRAND')]
cillit;[(0, 6, 'B-BRAND')]
cleando;[(0, 7, 'B-BRAND')]
cleanic гигиеническ;[(0, 7, 'B-BRAND'), (8, 19, 'B-TYPE')]
cleanic гигиеническая;[(0, 7, 'B-BRAND'), (8, 21, 'B-TYPE')]
clif;[(0, 4, 'B-BRAND')]
clipstudio альб;[(0, 10, 'B-BRAND'), (11, 15, 'B-TYPE')]
clipstudio альбо;[(0, 10, 'B-BRAND'), (11, 16, 'B-TYPE')]
clipstudio альбом;[(0, 10, 'B-BRAND'), (11, 17, 'B-TYPE')]
clipstudio блокнот;[(0, 10, 'B-BRAND'), (11, 18, 'B-TYPE')]
clipstudio блокнотов;[(0, 10, 'B-BRAND'), (11, 20, 'B-TYPE')]
clipstudio блокноты;[(0, 10, 'B-BRAND'), (11, 19, 'B-TYPE')]
clipstudio каранда;[(0, 10, 'B-BRAND'), (11, 18, 'B-TYPE')]
clipstudio карандаш;[(0, 10, 'B-BRAND'), (11, 19, 'B-TYPE')]
clipstudio карандаши;[(0, 10, 'B-BRAND'), (11, 20, 'B-TYPE')]
cliven сам;[(0, 6, 'B-BRAND'), (7, 10, 'O')]
cnay;[(0, 4, 'O')]
cnorr;[(0, 5, 'B-BRAND')]
